!	! ‼ ⁉ ❕ ❗
!!	!! ‼
#	# #️⃣
%	% 🔣
&	& 🔣
celebration	celebration 🥳 🙌 🎅 🤶 🧑‍🎄 🎂 🎃 🎆 🎇 🎈 🎉 🎊 🎋 🎍 🎎 🎏 🎐 🎑 🎀 🎁 🎗 🎖 🪅 🎓 🎌
cell	cell 📱 📲 📵 📶 📳 📴
cemetery	cemetery 🪦
censor	censor 🤬
centralafricanrepublic	centralafricanrepublic 🇨🇫
cereal	cereal 🥣
ceremony	ceremony 🎑
ceuta	ceuta 🇪🇦
cha	cha 🪇
chad	chad 🇹🇩
chai	chai ☕
chain	chain ⛓️‍💥
chains	chains ⛓
chair	chair 💺 🪑
champion	champion 🏆
championship	championship ⛹ ⛹️‍♂️ ⛹️‍♀️
champs	champs 🏆
change	change 🪸
changing	changing 🚼
chapel	chapel 💒 ⛪
charge	charge 💳 💲 🈂 🈶 🈚
charm	charm 🧿
chart	chart 💹 📈 📉 📊
check	check ✅ ☑ ✔
check-in	check-in 🛫
checked	checked 🛄 ✅ ☑ ✔
checkered	checkered 🏁
checkmark	checkmark ✅ ✔
cheerful	cheerful 😀
cheering	cheering 📣
cheers	cheers 🍻
cheery	cheery 😀
cheese	cheese 🧀 🍕 🫕 🪤
chef	chef 🧑‍🍳 👨‍🍳 👩‍🍳 🔪
chemist	chemist 🧑‍🔬 👨‍🔬 👩‍🔬 🧪
chemistry	chemistry ⚗ 🧪
chemotherapy	chemotherapy 🦲
chequered	chequered 🏁
cherries	cherries 🍒
cherry	cherry 🌸 🍒
chess	chess ♟
chest	chest 🧰
chestnut	chestnut 🌰
chevron	chevron 🔰
chick	chick 🐣 🐤 🐥
chicken	chicken 🐔 🍗
chickpea	chickpea 🧆
